"id";"reputation";"ex";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector"
"18934";"8";"0";"1";"1";"0,0000730027693768543";"7";"0,266791744840525";"0";"0,00433802471727548"
"18936";"54";"0";"1";"9";"0,0000343661223261074";"7";"0,325700677779813";"0";"0,000244794250290666"
"18939";"21";"0";"1";"2";"0,0000377335269424465";"7";"0,292145908642787";"56,0042366617604";"0,000234585940166365"
"18949";"127";"0";"1";"7";"0,0000354216319846129";"7";"0,285863537732058";"0";"0,000244794250290666"
"18954";"1";"0";"1";"0";"0,0000606427868946319";"0";"0";"0";"0,00368791174863381"
"18958";"245";"1";"12";"0";"0,000360722076522057";"0";"0";"0";"0,0327660009124847"
"18959";"101";"0";"2";"0";"0,0000902020330789523";"0";"0";"0";"0,0129181317029104"
"18960";"21";"0";"0";"1";"0,0000311204305365192";"7";"0,258505379470776";"0";"0"
"18963";"61";"0";"2";"5";"0,0000462709659465298";"7";"0,301118075554803";"12,2200273877213";"0,00162415849580364"
"18968";"21";"0";"4";"3";"0,000109074774630662";"7";"0,292930125247198";"397,97615723651";"0,00449111761970201"
"18975";"123";"0";"1";"2";"0,0000572387151984129";"7";"0,292231812577065";"83,3064769577748";"0,000312421062351389"
"18976";"126";"0";"4";"0";"0,0000899263738250929";"0";"0";"0";"0,00191941679690135"
"18980";"1";"0";"0";"1";"0,0000311204305365192";"7";"0,290143603133159";"0";"0"
"18981";"11";"0";"1";"3";"0,000130580489209115";"7";"0,31294014084507";"81,1450276284015";"0,00962061171992256"
"18984";"11";"0";"0";"3";"0,0000311204305365192";"8";"0,270720755004186";"0";"0"
"18985";"1";"0";"1";"0";"0,0000399378924110889";"0";"0";"0";"0,000234585940166365"
"18986";"1";"0";"0";"1";"0,0000311204305365192";"8";"0,263876521222915";"0";"0"
"18989";"52";"0";"2";"1";"0,000239120857109659";"8";"0,259545885960429";"0";"0,0227937857332873"
"18994";"9";"0";"1";"1";"0,000038404889945135";"7";"0,292111750205423";"0";"0,0013543375649438"
"19001";"11";"0";"1";"5";"0,0000374945005479113";"7";"0,307107694965023";"0";"0,000244794250290666"
"19003";"9";"0";"0";"5";"0,0000311204305365192";"7";"0,324511772221208";"0";"0"
"19004";"109";"0";"1";"3";"0,0000434238702917287";"7";"0,274913026671821";"0";"0,000244794250290666"
"19006";"21";"0";"1";"1";"0,000035529161473804";"7";"0,292121909143186";"0";"0,000234585940166365"
"19008";"1";"0";"1";"0";"0,000058157188401097";"0";"0";"0";"0,00106278138768524"
"19010";"6";"0";"0";"2";"0,0000311204305365192";"8";"0,263915689476028";"0";"0"
"19015";"101";"0";"2";"0";"0,0000647477598134039";"0";"0";"0";"0,00100865997553987"
"19018";"194";"0";"3";"3";"0,000104883485647672";"7";"0,307685649991345";"131,429021974827";"0,00514326709558182"
"19019";"1";"0";"0";"1";"0,0000311204305365192";"7";"0,292121909143186";"0";"0"
"19020";"21";"0";"1";"0";"0,0000354216319846129";"0";"0";"0";"0,000244794250290666"
"19021";"11";"0";"1";"1";"0,0000631580177616815";"7";"0,292135754786753";"0";"0,00661054951362364"
"19023";"23";"0";"0";"2";"0,0000311204305365192";"8";"0,274148821445078";"0";"0"
"19026";"11";"0";"1";"0";"0,0000855882502698201";"0";"0";"0";"0,0105367658702772"
