"id";"userId";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector";"ex";"reputation"
"13023";"13023";"2";"10";"0,000043647973033824";"7";"0,305945108835929";"424,007417013927";"0,000489588500581331";"0";"52"
"13028";"13028";"1";"1";"0,0000631580177616815";"7";"0,288391336091506";"0";"0,00661054951362364";"0";"1"
"13031";"13031";"1";"0";"0,0000449543757783422";"0";"0";"0";"0,000419197112576219";"0";"101"
"13034";"13034";"2";"0";"0,0000507206933597659";"0";"0";"0";"0,000479380190457031";"0";"31"
"13040";"13040";"2";"2";"0,000227097181474022";"8";"0,273925104022191";"0";"0,0100218433060285";"0";"18"
"13043";"13043";"2";"6";"0,000156008772645997";"7";"0,318320200573066";"262,031725273906";"0,0241088280170664";"0";"163"
"13044";"13044";"0";"2";"0,0000311204305365192";"7";"0,292771282726824";"0";"0";"0";"11"
"13047";"13047";"0";"5";"0,0000311204305365192";"7";"0,306551724137931";"0";"0";"0";"21"
"13049";"13049";"1";"0";"0,0000814311559885077";"0";"0";"0";"0,00301524049860802";"0";"101"
"13050";"13050";"1";"0";"0,0000452619948391822";"0";"0";"0";"0,00165116018240213";"0";"101"
"13052";"13052";"1";"4";"0,0000395180153584541";"7";"0,286289348683681";"0";"0,000244794250290666";"0";"106"
"13055";"13055";"2";"5";"0,0000512321298443677";"7";"0,303950068399453";"9,4210590486494";"0,00139131781639498";"0";"129"
"13057";"13057";"0";"6";"0,0000311204305365192";"7";"0,303438859970987";"0";"0";"0";"11"
"13062";"13062";"0";"2";"0,0000311204305365192";"7";"0,273433294886582";"0";"0";"0";"133"
"13064";"13064";"1";"1";"0,0000950858651926462";"7";"0,289518690447105";"0";"0,0168620622660707";"0";"118"
"13066";"13066";"1";"0";"0,0000345669648494425";"0";"0";"0";"0,000255063004940429";"1";"241"
"13067";"13067";"9";"1";"0,000260551974600371";"8";"0,246276411499827";"104,441582075545";"0,0221603411712426";"0";"206"
"13068";"13068";"1";"0";"0,0000471009272310203";"0";"0";"0";"0,000288213882528454";"0";"21"
"13071";"13071";"1";"5";"0,0000374945005479113";"7";"0,306849551414769";"0";"0,000244794250290666";"0";"21"
"13072";"13072";"56";"27";"0,0011903850889058";"7";"0,344209914794733";"61403,9513164037";"0,115537668775535";"1";"1501"
"13073";"13073";"2";"0";"0,0000697600408721155";"0";"0";"0";"0,00115818834914086";"0";"101"
"13081";"13081";"2";"0";"0,0000634274733851004";"0";"0";"0";"0,000844079607805482";"0";"101"
"13082";"13082";"3";"5";"0,00016548684689921";"7";"0,300557997970916";"90,066076632581";"0,0243745327220066";"0";"18"
"13086";"13086";"4";"2";"0,000164605658366765";"7";"0,277929794386678";"0";"0,00801800290281653";"0";"166"
"13087";"13087";"2";"4";"0,0000867177080413859";"7";"0,294971788914703";"5552,742657276";"0,00157526917133555";"0";"116"
"13091";"13091";"1";"4";"0,0000395180153584541";"7";"0,302792915531335";"0";"0,000244794250290666";"0";"104"
"13093";"13093";"6";"3";"0,0000986464496199305";"8";"0,266931971767533";"51,903235008539";"0,00237652912201412";"1";"324"
"13094";"13094";"34";"5";"0,00070117560470419";"8";"0,280208087018208";"3100,55689384804";"0,0396803949002435";"1";"235"
"13098";"13098";"2";"7";"0,000108227858593055";"7";"0,313824152542373";"196,495160463286";"0,0173943822986484";"0";"58"
"13100";"13100";"4";"11";"0,000150944517767505";"7";"0,327679970504194";"1452,82516631536";"0,0138673699400642";"0";"153"
"13101";"13101";"0";"1";"0,0000311204305365192";"7";"0,277964511842414";"0";"0";"0";"11"
"13102";"13102";"2";"13";"0,000049562174253904";"7";"0,332398316970547";"11171,591353301";"0,00091085955554549";"0";"149"
"13106";"13106";"1";"0";"0,0000946437244326048";"0";"0";"0";"0,0169300366253565";"0";"101"
"13116";"13116";"1";"6";"0,0000362568168593035";"7";"0,318552360476574";"0";"0,000244794250290666";"0";"106"
"13118";"13118";"1";"0";"0,0000730027693768543";"0";"0";"0";"0,00433802471727548";"0";"101"
"13119";"13119";"1";"6";"0,0000362568168593035";"8";"0,284070937849497";"0";"0,000244794250290666";"0";"46"
"13123";"13123";"0";"2";"0,0000311204305365192";"7";"0,283527348110349";"0";"0";"0";"16"
"13127";"13127";"5";"11";"0,000241627221261191";"7";"0,315915755798454";"476,650686999663";"0,0114816707150558";"0";"196"
"13128";"13128";"0";"6";"0,0000311204305365192";"7";"0,302458110062091";"0";"0";"0";"104"
"13131";"13131";"1";"1";"0,000038404889945135";"7";"0,292111750205423";"0";"0,0013543375649438";"0";"101"
